url,site,title,snippet,filter_verdict,snippet_hits,body_token_hits,auto_judgement,body_excerpt_500,manual_label
https://clien.net/service,clien.net,클리앙,모두의 커뮤니티 클리앙,excluded,,,,바다풍경 항해사 시점의 바다 사진들 입니다 3 06-11 처음본 전기자동차 처음본 전기자동차 찾아보니 배터리가 에반게리온 급입니다. 100킬로... 4 06-11 레노버 ThinkCentre Nano M75n 미국 이베이에서 직구한 레노버 씽크센터 나노 M75n 입니다. (한국에서도 팔리긴 했는데 매물이 별로 없어서 미국 직구함) 2020년 2 06-10 예쁜 제주 바다예요 제주도는 정말 언제가도 좋은 것 같아요 이번엔 성산 쪽으로 가는 해안길을 갔는데 바다가 너무 이뻐서 몇번이나 차를 멈췄네요 2 06-10 원기회복용 낙지 미나리 갑오징어 와이프가 만든 원기회복용 낙지·미나리·갑오징어 요리입니다. 요즘 아이들이 공부 챙기느라 많이 힘들어하는 모습에 와이프가 가 2 06-09 황석산(함양군) 쨍한 날 보단 적당히 구름낀 흐린날이 산행하긴 좋습니다. 마지막 오디는 정말 오랜만에 먹어 봅니다. ㅋ 06-09,
https://clien.net/service/board/cm_bike/18368014,clien.net,림돌이 하나 추천 부탁 드립니다. : 클리앙,700c 휠(QR/TA )과 브롬톤 휠 가끔 트루잉 하고 어쩌면 빌드도 할 지 모르겠습니다. 찾아보니 파크툴 TS-2.3이 무난한 선택 같은데 가끔 쓰는데 투자하기에는 조금 비싸더라고요. 파크툴보다 저렴한 제품 중에서 쓸만한 제품이 ...,excluded,,,,"@JaGer님 추천 감사드립니다. 여기서 크로우풋 렌치 구입한것 있는데 만듦새는 좀 그렇더군요. 제품 평이 갈리는걸 보면 품질 편차가 큰 제품인가 봅니다. 그래도 가격이 깡패라고 좀 끌리기도 하네요. 어떤게 걸릴 지는 기도를 열심히 해야겠지만요. bulb LINK #144893125 IP 117.♡.11.195 23-10-16 2023-10-16 22:49:09 · 저렴해도 작업은 할 수 있긴한데 (알려진 것 중에선 미노우라 ft-1 정도) 싼 값을 하는것 같습니다. 센터 정렬이라든가 고정문제에서…좀 덜렁여서 애를 먹기는 하고요. 중국산은 써보니 그럴듯해 보여도 전혀 추천드리기 힘든 것 같습니다. 알미늄 cnc로 만들어진것도 겉보기만 그럴듯하지 실제론 상당히 헐렁합니다. 튼튼한 트루잉 스탠드를 써도 결국 섬세한 작업이 되니까, 조금 헐렁하다고 작업을 못하는건 아니겠습니다만… 다시 그 공구를 쓰겠다는 의욕이 확 사라지더라고요. 일전에 파크툴을 다시 사려다 품질 확실한 unior 것이 ",
https://clien.net/service/board/cm_car/17099766,clien.net,고민끝에 트위지 방출했습니다. : 클리앙,"사실 떠나보낸지는 한달이 좀 넘었네요. 차량 구매하면서 굴당에 실제로 타면서 느낀 점들을 공유해보고 싶었는데 게으르다보니 그렇게 많은 부분을 공유하진 못했네요. 하여, 방출기라도 끄적여봅니다..",excluded,,충전;보험,잠정 오제외,"사실 떠나보낸지는 한달이 좀 넘었네요. 차량 구매하면서 굴당에 실제로 타면서 느낀 점들을 공유해보고 싶었는데 게으르다보니 그렇게 많은 부분을 공유하진 못했네요. 하여, 방출기라도 끄적여봅니다.. 운행하면서 유쾌하지만은 않았지만 유류비를 아끼겠다는 일념으로 신차 출고하여 2년 조금 안되는 시간동안 꾸준히 출퇴근용으로 사용했었습니다. 약 8000KM정도 운행을 하는동안... 중간중간 도저히 못타겠다.. 진짜 장난감 그 이상도 그 이하도 아닌 것 같다. 차라리 트위지 값 680만원으로 중고경차(예를들면 가스 수동 스팍)을 사고 남는 돈을 깨스값으로 쓸걸.. 라는 후회도 많이 했죠. 그럼에도 트위지를 유지했던 이유는 단 하나 뿐이었습니다. 중고판매가가 아주 처참했습니다. 상사매매가가 200넘기기가 쉽지 않았어요. 680만원주고 사서 2년도 못타고 거의 500만원에 달하는 감가를 감내하기엔 그동안 추워가며 더워가며 비에 젖어가며 이 차를 타온 저의 고생이 용납이 안되더군요. 2년 조금 안되는",
https://clien.net/service/board/cm_car/18960361,clien.net,랜드로버 디팬더 스포츠 EV - 관하여 : 클리앙,New Land Rover Defender ‘Sport’ EV: What We Know The second model in the Defender family will rival Mercedes-Benz&#x27;s upcoming baby G-Class The new Land Rover maintains a familiar boxy shape simila,excluded,,충전,잠정 오제외,"New Land Rover Defender ‘Sport’ EV: What We Know The second model in the Defender family will rival Mercedes-Benz's upcoming baby G-Class - The new Land Rover maintains a familiar boxy shape similar to the Defender we love. - Spy shots reveal the new Defender’s taillights may be mounted low on the rear fascia. - The more compact SUVwill be underpinned by Jaguar Land Rover’s latest EMA platform. 랜드로버의 새로운 전기 SUV, '디펜더 스포츠 EV'가 온다 메르세데스-벤츠 ‘베이비 G 클래스’와 정면 승부할 전기 오프로더 👀 랜드로버가 또 하나의 디펜더 가족을 선보일 준비를 ",
https://clien.net/service/board/cm_dia/1201320,clien.net,트랑울이 원래 비싼가요?? : 클리앙,안녕하세요 저의 팔라가 드디어 뭔가를 주웠는데 트랑울 장갑과 갑옷 이네요 ㅎㅎ 그래서 원래 창고케였던 네크를 입혀주려 하는데 이왕이면 셋트를 맞추어서 네크를 부케로 잼있게 키워볼까하는데 장갑과 갑옷을 제외한 셋트아이템이 많이 비싼가요?아니면 혹시 많이 나오는 장소라도 ㅎㅎㅎ 조폭넥 은근 혼자하는 플레이의 외로움을 해결해주어 재미있기도 하고 ㅎㅎ %% 그런데,excluded,,,,안녕하세요 저의 팔라가 드디어 뭔가를 주웠는데 트랑울 장갑과 갑옷 이네요 ㅎㅎ 그래서 원래 창고케였던 네크를 입혀주려 하는데 이왕이면 셋트를 맞추어서 네크를 부케로 잼있게 키워볼까하는데 장갑과 갑옷을 제외한 셋트아이템이 많이 비싼가요? 아니면 혹시 많이 나오는 장소라도 ㅎㅎㅎ 조폭넥 은근 혼자하는 플레이의 외로움을 해결해주어 재미있기도 하고 ㅎㅎ %% 그런데 방이 왜이렇게 안파져요 ㅜ.ㅜ,
https://clien.net/service/board/cm_dia/16764268,clien.net,아 다들 왜 슬가 슬가 하나 싶었는데 : 클리앙,"안녕하세요. 바바 나메 액4 디아 잡고 51렙이 됐습니다. 액트 5에 도착했습니다. 시곤셋은 버렸고, 무기는 얘 쌍으로 들고 있고 뚜껑은 아직 시곤입니다. 기욤 뚜껑 쓰려고 하는데 힘이 115 가 안되서 못쓰고 있네요.",excluded,,,,"안녕하세요. 바바 나메 액4 디아 잡고 51렙이 됐습니다. 액트 5에 도착했습니다. 시곤셋은 버렸고, 무기는 얘 쌍으로 들고 있고 뚜껑은 아직 시곤입니다. 기욤 뚜껑 쓰려고 하는데 힘이 115 가 안되서 못쓰고 있네요. 105입니다. 갑옷은 배신, 장갑은 맹독손아귀, 벨트는 귀꿰미, 신발은 선혈기수, 아뮬은 고양이 눈, 반지는 칠흑서리 + 마날드입니다. 마흡은 마날드가 하고 피흡은 맹독손아귀 + 귀꿰미가 합니다. 무기에서 쌍 치명 35% 인데 70% 로 적용되는건지는 잘 모르겠고, 강타는 맹독손아귀 장갑에서 5%, 선혈기수에서 15% 입니다. 기욤 뚜껑 끼면 35% 가 추가되겠죠. 여튼 얼른 시곤 뚜껑 벗고 기욤 써야쥐!!! 생각하고 있었는데 문득 그냥 슬가가 생각났습니다. 다들 바바하면 슬가 슬가 하던데, 그게 뭔데 그러지? 하면서 검색해 봤습니다. 아니 이거 개 사기 템 아닙니까? 전체 스킬 +2 에, 전투 기술은 추가로 +2 에 패힛 30% 에, 명중률 20% 보너스에 피흡 4",
https://clien.net/service/board/cm_iphonien/11450609,clien.net,투패 배대지 출고완료됐는데 이제 어디서 트래킹 해야하나요? : 클리앙,배대지 직구가 처음이다 보니 자꾸 질문만 하게 됩니다. ㅠ 아이폰X 오늘새벽 배대지 입고 후 아침 일찍 배송료 결제하니 바로 출고완료 처리 됐더라구요. 어제까진 UPS 통해서 다 봤는데 우체국 택배 송장번호만 달랑 ...,excluded,,,,배대지 직구가 처음이다 보니 자꾸 질문만 하게 됩니다. ㅠ 아이폰X 오늘새벽 배대지 입고 후 아침 일찍 배송료 결제하니 바로 출고완료 처리 됐더라구요. 어제까진 UPS 통해서 다 봤는데 우체국 택배 송장번호만 달랑 기재되어있는거 같더라구요. 이제 비행기편이나 관세 및 통관 추적이나 언제오는지 등등 어디에서 확인 해야하나요?,
https://clien.net/service/board/cm_iphonien/15991684,clien.net,신한 SIM타입 체크카드(후불교통) 받았습니다.jpg : 클리앙,계속 터치결제 글만 쓰고있네요... ㅎㅎ 방금전에 카드 배송원분 통해서 신한 SIM타입 체크카드(후불교통) 받았습니다. 맨날 나노심만 보다가 이 사이즈 심카드를 보니 뭔가 상당히 어색합니다. 심 빼고 남은 카드만 쓸 수 있나 ...,excluded,,,,"계속 터치결제 글만 쓰고있네요... ㅎㅎ 방금전에 카드 배송원분 통해서 신한 SIM타입 체크카드(후불교통) 받았습니다. 맨날 나노심만 보다가 이 사이즈 심카드를 보니 뭔가 상당히 어색합니다. 심 빼고 남은 카드만 쓸 수 있나 싶었는데, 마그네틱 사용불가라고 적혀있네요. 빼서 케이스에 넣는 형태이고 딸깍 하면서 들어가는 형태입니다. (한번 더 눌러주면 튀어나오는 형태) 꼽았는데 살짝 기울어서 좀 불안불안 하긴 합니다만, 뭐 이상 없겠지요 ㅎ 다만 교통카드 쓸 일이 없는데 어디서 테스트를 해야하나 싶네요... 지하철이든 어디든 가서 한번 써봐야겠습니다. 화면만 켜져있음 인식 가능하다니까 좋네요 ㅋ",
https://clien.net/service/board/cm_iphonien/17579286,clien.net,(빠른애플페이기원) 월렛 한번 올려봅니다 : 클리앙,일본 거주중입니다. 현재 애플페이로 사용중인 카드가 들어있는 월렛 스샷 한번 올려봅니다! 먼저 위에서부터 첫 번째 카드는 세븐일레븐 등에서 사용 가능한 나나코입니다. 다만 페이페이 등의 바코드 결제를 많이 써서 ...,excluded,,,,일본 거주중입니다. 현재 애플페이로 사용중인 카드가 들어있는 월렛 스샷 한번 올려봅니다! 먼저 위에서부터 첫 번째 카드는 세븐일레븐 등에서 사용 가능한 나나코입니다. 다만 페이페이 등의 바코드 결제를 많이 써서 거의 사용하지 않네요. 두 번째는 라인페이랑 연동되는 라인페이 비자 프리페이드 카드입니다. 세 번째는 미츠비시 UFJ은행의 체크카드입니다. 체크카드는 애플페이 등록 가능한 카드가 거의 JCB만 되더라구요. 네 번째는 여러분들도 잘 아시는 교통카드 스이카입니다. 다만 주로 애플워치로 교통카드 쓰는데 애플워치에 파스모와 스이카가 들어가 있습니다. 다섯 번째는 JCB ANA(항공사) 카드입니다. 마일리지 잘 모인다고 쓰고 있는데 코로나 때문에 해외 갈일이 없어서 연회비가 아까워지고 있습니다. 다만 생활비는 거의 이걸로 결제하고 있네요. 여섯 번째는 아마존 마스터 카드입니다. 생활비를 제외하고 주력으로 사용하고 있네요. 사용하면 아마존 포인트가 쌓입니다. 마지막은 폰타 포인트 카드입,
https://clien.net/service/board/cm_iphonien/17631741,clien.net,[14프맥] 신한 pLay 앱 인증 오류 [해결] : 클리앙,"14프로맥스 직구로 기기 변경하고 금융관련 앱 중에서 유독 신한pLay 앱만 기기인증을 위한 문자발송을 하고나면 인증번호가 와야되는데, 인증번호 수신이 전혀 안됩니다. 저만 그런건지 앱 자체의 문제인지 알수가 없네요...;; ==============================본문 내용 추가 =========================== 댓글 내용 중",excluded,,,,"14프로맥스 직구로 기기 변경하고 금융관련 앱 중에서 유독 신한pLay 앱만 기기인증을 위한 문자발송을 하고나면 인증번호가 와야되는데, 인증번호 수신이 전혀 안됩니다. 저만 그런건지 앱 자체의 문제인지 알수가 없네요...;; ==============================본문 내용 추가 =========================== 댓글 내용 중 jayK917 님의 조언대로 수신차단 리스트에 신한카드 1544-7000 번이 등록된것이 원인이었습니다. 잘 해결하였습니다. jayK917 님께 감사 말씀 드립니다. ^^",
